SrNo,State Name,TIN,StateCode
1,Andra Pradesh,37,AD
2,Arunachal Pradesh,12,AR
3,Assam,18,AS
4,Bihar,10,BR
5,Chattisgarh,22,CG
6,Delhi,07,DL
7,Goa,30,GA
8,Gujarat,24,GJ
9,Haryana,06,HR
10,Himachal Pradesh,02,HP
11,Jammu and Kashmir,01,JK
12,Jharkhand,20,JH
13,Karnataka,29,KA
14,Kerala,32,KL
15,Lakshadweep,31,LD
16,Madhya Pradesh,23,MP
17,Maharashtra,27,MH
18,Manipur,14,MN
19,Meghalaya,17,ML
20,Mizoram,15,MZ
21,Nagaland,13,NL
22,Odisha,21,OD
23,Pondicherry,34,PY
24,Punjab,03,PB
25,Rajasthan,08,RJ
26,Sikkim,11,SK
27,Tamil Nadu,33,TN
28,Telangana,36,TS
29,Tripura,16,TR
30,Uttar Pradesh,09,UP
31,Uttarakhand,05,UK
32,West Bengal,19,WB
